#=====================================================
# File created:        Thu-31-Oct-2024-at-02-25-52AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.673962
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2580.1339  0.2631 
   00001    1.0000   -2534.2770  0.2620 
   00002    1.0000   -2495.4228  0.2646 
   00003    1.0000   -2497.1380  0.2629 
   00004    1.0000   -2504.8680  0.2673 
   00005    1.0000   -2510.0127  0.2630 
   00006    1.0000   -2537.4994  0.2647 
   00007    1.0000   -2556.3169  0.2623 
   00008    1.0000   -2525.0164  0.2651 
   00009    1.0000   -2591.8377  0.2566 
   00010    1.0000   -2568.3698  0.2617 
   00011    0.0000   -2414.5697  0.2576 
   00012    1.0000   -2422.0195  0.2570 
   00013    1.0000   -2445.8228  0.2582 
   00014    1.0000   -2516.6426  0.2578 
   00015    1.0000   -2456.5235  0.2550 
   00016    1.0000   -2521.2980  0.2625 
   00017    1.0000   -2553.0278  0.2676 
   00018    1.0000   -2481.2311  0.2688 
   00019    1.0000   -2569.4343  0.2761 
   00020    0.0000   -2502.6292  0.2772 
   00021    1.0000   -2492.9497  0.2670 
   00022    1.0000   -2509.2846  0.2779 
   00023    1.0000   -2450.3380  0.2724 
   00024    1.0000   -2437.1533  0.2650 
   00025    0.0000   -2561.2241  0.2713 
   00026    1.0000   -2550.7636  0.2728 
   00027    1.0000   -2591.9760  0.2710 
   00028    1.0000   -2611.6573  0.2666 
   00029    1.0000   -2595.8378  0.2660 
   00030    1.0000   -2432.5353  0.2637 
   00031    1.0000   -2460.4900  0.2600 
   00032    1.0000   -2559.2376  0.2568 
   00033    1.0000   -2585.3156  0.2623 
   00034    1.0000   -2653.2452  0.2589 
   00035    1.0000   -2646.7290  0.2624 
   00036    1.0000   -2571.4897  0.2536 
   00037    1.0000   -2482.9858  0.2636 
   00038    1.0000   -2420.0270  0.2714 
   00039    1.0000   -2410.7860  0.2639 
   00040    1.0000   -2503.6624  0.2592 
   00041    1.0000   -2402.9008  0.2601 
   00042    0.0000   -2394.6933  0.2708 
   00043    1.0000   -2405.0853  0.2542 
   00044    1.0000   -2459.6774  0.2675 
   00045    1.0000   -2439.4353  0.2654 
   00046    1.0000   -2475.2957  0.2557 
   00047    1.0000   -2560.0824  0.2596 
   00048    1.0000   -2450.1543  0.2516 
   00049    1.0000   -2483.7744  0.2612 
   00050    1.0000   -2524.9020  0.2621 
   00051    1.0000   -2645.4708  0.2578 
   00052    1.0000   -2653.4915  0.2725 
   00053    1.0000   -2601.9131  0.2629 
   00054    1.0000   -2513.8711  0.2603 
   00055    1.0000   -2601.2095  0.2634 
   00056    1.0000   -2546.7865  0.2609 
   00057    1.0000   -2443.9204  0.2639 
   00058    1.0000   -2496.6649  0.2618 
   00059    1.0000   -2545.9574  0.2640 
   00060    1.0000   -2477.6204  0.2638 
   00061    1.0000   -2472.6669  0.2533 
   00062    1.0000   -2466.6741  0.2633 
   00063    1.0000   -2425.0249  0.2598 
   00064    1.0000   -2397.5886  0.2594 
   00065    1.0000   -2577.8067  0.2546 
   00066    1.0000   -2596.7509  0.2578 
   00067    1.0000   -2501.9442  0.2601 
   00068    1.0000   -2412.6363  0.2683 
   00069    1.0000   -2396.8871  0.2543 
   00070    1.0000   -2433.3184  0.2609 
   00071    1.0000   -2438.4476  0.2662 
   00072    1.0000   -2505.9977  0.2662 
   00073    1.0000   -2495.8306  0.2600 
   00074    1.0000   -2432.9497  0.2608 
   00075    1.0000   -2374.6989  0.2707 
   00076    1.0000   -2432.3865  0.2768 
   00077    1.0000   -2440.9751  0.2687 
   00078    1.0000   -2462.9840  0.2625 
   00079    1.0000   -2509.1068  0.2600 
   00080    1.0000   -2545.5862  0.2584 
   00081    1.0000   -2561.8361  0.2572 
   00082    1.0000   -2549.5564  0.2557 
   00083    1.0000   -2542.4797  0.2606 
   00084    1.0000   -2487.3392  0.2521 
   00085    1.0000   -2450.4666  0.2690 
   00086    1.0000   -2502.5822  0.2697 
   00087    1.0000   -2532.2329  0.2644 
   00088    1.0000   -2443.1571  0.2692 
   00089    1.0000   -2491.1923  0.2751 
   00090    1.0000   -2482.1705  0.2740 
   00091    1.0000   -2439.3379  0.2713 
   00092    1.0000   -2421.7249  0.2633 
   00093    1.0000   -2423.6222  0.2720 
   00094    1.0000   -2457.8505  0.2666 
   00095    1.0000   -2395.9135  0.2721 
   00096    1.0000   -2380.2157  0.2717 
   00097    1.0000   -2445.6275  0.2634 
   00098    1.0000   -2432.0639  0.2677 
   00099    1.0000   -2398.1783  0.2700 
   00100    1.0000   -2433.8960  0.2594 
   00101    1.0000   -2484.1099  0.2585 
   00102    1.0000   -2507.8867  0.2641 
   00103    1.0000   -2411.6736  0.2657 
   00104    1.0000   -2414.6158  0.2607 
   00105    1.0000   -2497.4529  0.2685 
   00106    0.0000   -2552.1216  0.2660 
   00107    1.0000   -2510.0903  0.2724 
   00108    1.0000   -2521.8050  0.2637 
   00109    1.0000   -2526.8378  0.2531 
   00110    1.0000   -2587.1839  0.2631 
   00111    1.0000   -2535.8373  0.2569 
   00112    1.0000   -2434.9209  0.2665 
   00113    1.0000   -2455.3672  0.2609 
   00114    1.0000   -2420.6219  0.2576 
   00115    1.0000   -2433.2111  0.2645 
   00116    1.0000   -2431.3457  0.2797 
   00117    1.0000   -2440.6873  0.2620 
   00118    1.0000   -2450.0381  0.2591 
   00119    1.0000   -2585.8816  0.2589 
   00120    1.0000   -2542.3973  0.2536 
   00121    1.0000   -2593.4207  0.2631 
   00122    1.0000   -2598.6139  0.2560 
   00123    1.0000   -2504.9512  0.2582 
   00124    1.0000   -2471.7736  0.2613 
   00125    1.0000   -2511.5111  0.2602 
   00126    1.0000   -2489.3362  0.2658 
   00127    1.0000   -2508.3900  0.2606 
   00128    1.0000   -2510.1482  0.2614 
   00129    1.0000   -2483.5202  0.2556 
   00130    1.0000   -2546.3222  0.2707 
   00131    1.0000   -2493.8609  0.2618 
   00132    1.0000   -2509.7819  0.2588 
   00133    1.0000   -2490.3039  0.2569 
   00134    1.0000   -2435.1227  0.2603 
   00135    1.0000   -2479.7288  0.2670 
   00136    1.0000   -2536.0489  0.2572 
   00137    1.0000   -2579.6511  0.2617 
   00138    1.0000   -2469.0680  0.2518 
   00139    1.0000   -2439.4998  0.2624 
   00140    1.0000   -2561.0701  0.2507 
   00141    1.0000   -2469.9836  0.2581 
   00142    1.0000   -2366.5332  0.2599 
   00143    1.0000   -2428.0653  0.2656 
   00144    0.0000   -2457.8450  0.2711 
   00145    1.0000   -2524.3006  0.2598 
   00146    1.0000   -2451.6781  0.2533 
   00147    1.0000   -2523.1339  0.2620 
   00148    1.0000   -2492.2513  0.2596 
   00149    1.0000   -2570.9782  0.2627 
   00150    1.0000   -2528.3519  0.2576 
   00151    1.0000   -2525.2470  0.2583 
   00152    1.0000   -2528.6855  0.2563 
   00153    1.0000   -2544.8076  0.2563 
   00154    1.0000   -2477.9482  0.2671 
   00155    1.0000   -2485.3498  0.2703 
   00156    1.0000   -2446.5571  0.2607 
   00157    1.0000   -2468.7140  0.2557 
   00158    1.0000   -2482.4821  0.2608 
   00159    1.0000   -2594.5711  0.2700 
   00160    1.0000   -2538.7754  0.2700 
   00161    1.0000   -2506.6966  0.2711 
   00162    1.0000   -2570.7415  0.2660 
   00163    0.0000   -2555.5774  0.2689 
   00164    1.0000   -2509.0158  0.2710 
   00165    0.0000   -2514.2076  0.2646 
   00166    1.0000   -2451.8645  0.2622 
   00167    1.0000   -2517.3974  0.2616 
   00168    1.0000   -2401.3923  0.2594 
   00169    1.0000   -2371.9968  0.2610 
   00170    1.0000   -2398.7536  0.2634 
   00171    1.0000   -2479.6051  0.2679 
   00172    1.0000   -2484.2031  0.2700 
   00173    1.0000   -2475.8613  0.2673 
   00174    1.0000   -2417.4579  0.2529 
   00175    1.0000   -2322.8815  0.2555 
   00176    1.0000   -2373.5917  0.2702 
   00177    1.0000   -2508.8422  0.2783 
   00178    1.0000   -2437.9486  0.2664 
   00179    1.0000   -2352.3303  0.2582 
   00180    1.0000   -2375.4633  0.2627 
   00181    1.0000   -2486.0392  0.2582 
   00182    1.0000   -2392.7462  0.2613 
   00183    1.0000   -2525.6563  0.2671 
   00184    1.0000   -2411.9808  0.2628 
   00185    1.0000   -2503.0332  0.2566 
   00186    1.0000   -2394.9287  0.2527 
   00187    1.0000   -2442.8694  0.2514 
   00188    1.0000   -2393.2719  0.2637 
   00189    1.0000   -2371.8469  0.2751 
   00190    1.0000   -2394.9262  0.2750 
   00191    1.0000   -2477.7199  0.2636 
   00192    1.0000   -2501.2429  0.2581 
   00193    1.0000   -2539.1425  0.2614 
   00194    1.0000   -2556.9674  0.2718 
   00195    1.0000   -2558.6219  0.2750 
   00196    1.0000   -2543.6204  0.2651 
   00197    1.0000   -2569.4370  0.2541 
   00198    1.0000   -2530.1859  0.2534 
   00199    0.0000   -2515.2854  0.2641 
   00200    1.0000   -2476.8627  0.2632 
   00201    1.0000   -2496.7350  0.2541 
   00202    1.0000   -2455.9358  0.2569 
   00203    1.0000   -2430.9850  0.2635 
   00204    1.0000   -2453.1191  0.2627 
   00205    1.0000   -2423.3210  0.2664 
   00206    1.0000   -2491.1435  0.2705 
   00207    1.0000   -2439.1506  0.2790 
   00208    1.0000   -2479.1589  0.2809 
   00209    1.0000   -2470.7923  0.2755 
   00210    1.0000   -2478.6372  0.2662 
   00211    1.0000   -2535.1893  0.2618 
   00212    1.0000   -2475.4724  0.2536 
   00213    1.0000   -2509.8585  0.2554 
   00214    1.0000   -2511.4209  0.2575 
   00215    1.0000   -2450.2338  0.2610 
   00216    1.0000   -2494.7752  0.2617 
   00217    1.0000   -2656.9632  0.2543 
   00218    1.0000   -2605.4635  0.2548 
