#=====================================================
# File created:        Wed-30-Oct-2024-at-06-13-04PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        2.267664
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1705.3927  0.2641 
   00001    0.6913   -2429.3580  0.2592 
   00002    0.6300   -2939.2504  0.2773 
   00003    0.5687   -3243.9776  0.2723 
   00004    0.5594   -3520.3775  0.2723 
   00005    0.5556   -3743.4221  0.2828 
   00006    0.5375   -3940.5507  0.2890 
   00007    0.5000   -4100.1399  0.3100 
   00008    0.5025   -4245.5433  0.3092 
   00009    0.4794   -4340.0576  0.3194 
   00010    0.4800   -4449.1046  0.3217 
   00011    0.4775   -4541.3205  0.3290 
   00012    0.4650   -4568.0053  0.3459 
   00013    0.4363   -4635.4824  0.3423 
   00014    0.4631   -4693.3654  0.3463 
   00015    0.4544   -4768.9145  0.3485 
   00016    0.4606   -4815.7467  0.3630 
   00017    0.4338   -4894.2542  0.3621 
   00018    0.4406   -4911.3649  0.3735 
   00019    0.4537   -4911.7497  0.3731 
   00020    0.4619   -4911.5571  0.3688 
   00021    0.4594   -4932.0658  0.3747 
   00022    0.4412   -4919.7802  0.3825 
   00023    0.4338   -4951.2395  0.3816 
   00024    0.4250   -4945.9771  0.3847 
   00025    0.4625   -4961.8352  0.3865 
   00026    0.4519   -4950.9078  0.3946 
   00027    0.4313   -4965.1051  0.3913 
   00028    0.4469   -4959.3632  0.3981 
   00029    0.4338   -5001.7522  0.3950 
   00030    0.4306   -5003.6491  0.3920 
   00031    0.4356   -4984.6568  0.3964 
   00032    0.4544   -5021.9487  0.4046 
   00033    0.4350   -5069.9369  0.4158 
   00034    0.4169   -5104.2662  0.4246 
   00035    0.4250   -5102.8728  0.4340 
   00036    0.4450   -5086.0453  0.4434 
   00037    0.4437   -5083.4921  0.4472 
   00038    0.4475   -5092.8125  0.4512 
   00039    0.4450   -5098.3689  0.4590 
   00040    0.4519   -5121.0009  0.4629 
   00041    0.4056   -5125.5196  0.4624 
   00042    0.4044   -5168.8299  0.4572 
   00043    0.4163   -5126.3422  0.4527 
   00044    0.4300   -5153.7934  0.4568 
   00045    0.4244   -5170.1632  0.4619 
   00046    0.4556   -5159.0623  0.4578 
   00047    0.4338   -5207.9447  0.4619 
   00048    0.4231   -5200.2509  0.4634 
   00049    0.4437   -5224.2404  0.4696 
   00050    0.4256   -5242.0965  0.4706 
   00051    0.4181   -5236.3303  0.4676 
   00052    0.4163   -5245.6960  0.4739 
   00053    0.4131   -5246.7520  0.4745 
   00054    0.3975   -5202.3807  0.4878 
   00055    0.4319   -5249.6075  0.4935 
   00056    0.4369   -5237.4646  0.5020 
   00057    0.4319   -5226.9762  0.4986 
   00058    0.4144   -5243.9064  0.4947 
   00059    0.4150   -5245.6980  0.4917 
   00060    0.4106   -5256.5402  0.4868 
   00061    0.4625   -5254.5545  0.4803 
   00062    0.4200   -5269.4067  0.4784 
   00063    0.4356   -5277.0234  0.4708 
   00064    0.4175   -5296.0658  0.4783 
   00065    0.4181   -5297.9768  0.4900 
   00066    0.4200   -5325.7989  0.4836 
   00067    0.4225   -5302.0111  0.4846 
   00068    0.4238   -5311.5890  0.4835 
   00069    0.4375   -5314.5860  0.4925 
   00070    0.4094   -5307.2006  0.4962 
   00071    0.4113   -5306.1617  0.5005 
   00072    0.4062   -5285.8079  0.4976 
   00073    0.4194   -5322.3983  0.4912 
   00074    0.4369   -5342.4597  0.4946 
   00075    0.4075   -5305.9500  0.4998 
   00076    0.4231   -5363.2638  0.5084 
   00077    0.3912   -5336.7316  0.5071 
   00078    0.4238   -5356.4375  0.5047 
   00079    0.4050   -5356.3160  0.5100 
   00080    0.4263   -5363.2044  0.5120 
   00081    0.4119   -5349.3881  0.5110 
   00082    0.4244   -5324.2621  0.5121 
   00083    0.4169   -5327.4148  0.5182 
   00084    0.4356   -5331.9530  0.5209 
   00085    0.4319   -5341.3906  0.5188 
   00086    0.4213   -5328.3778  0.5180 
   00087    0.4081   -5359.3346  0.5204 
   00088    0.4044   -5356.9405  0.5292 
   00089    0.4069   -5366.4527  0.5371 
   00090    0.4037   -5346.0502  0.5331 
   00091    0.4263   -5341.5680  0.5284 
   00092    0.4300   -5341.5308  0.5294 
   00093    0.4069   -5349.6356  0.5304 
   00094    0.4144   -5340.2836  0.5349 
   00095    0.4050   -5341.3454  0.5360 
   00096    0.4138   -5359.8669  0.5407 
   00097    0.4125   -5315.2778  0.5360 
   00098    0.4213   -5312.8478  0.5386 
   00099    0.4175   -5348.9756  0.5341 
   00100    0.4406   -5312.9938  0.5288 
   00101    0.4269   -5348.1591  0.5311 
   00102    0.4119   -5365.6755  0.5264 
   00103    0.4044   -5399.5442  0.5234 
   00104    0.4044   -5405.7890  0.5270 
   00105    0.4094   -5424.5608  0.5300 
   00106    0.3856   -5399.1191  0.5271 
   00107    0.4106   -5387.5709  0.5209 
   00108    0.4281   -5401.8858  0.5229 
   00109    0.4256   -5376.7480  0.5314 
   00110    0.4113   -5369.8619  0.5367 
   00111    0.4088   -5379.9582  0.5384 
   00112    0.4325   -5348.8359  0.5391 
   00113    0.4088   -5392.5982  0.5456 
   00114    0.4194   -5405.0707  0.5491 
   00115    0.4213   -5422.0508  0.5545 
   00116    0.3956   -5405.3161  0.5537 
   00117    0.3900   -5412.9366  0.5513 
   00118    0.4050   -5417.6045  0.5629 
   00119    0.4175   -5414.1351  0.5652 
   00120    0.4012   -5428.1777  0.5738 
   00121    0.4156   -5433.3536  0.5713 
   00122    0.4363   -5439.3463  0.5734 
   00123    0.4206   -5460.8106  0.5695 
   00124    0.4131   -5463.3130  0.5732 
   00125    0.4244   -5465.0075  0.5837 
   00126    0.4225   -5429.6137  0.5764 
   00127    0.3950   -5434.0207  0.5762 
   00128    0.4056   -5424.1427  0.5869 
   00129    0.4119   -5424.4014  0.5949 
   00130    0.4000   -5451.3689  0.5935 
   00131    0.4000   -5421.8365  0.5885 
   00132    0.4081   -5450.0725  0.5904 
   00133    0.4012   -5424.8151  0.5851 
   00134    0.4113   -5392.2239  0.5895 
   00135    0.4094   -5374.9505  0.5888 
   00136    0.3987   -5399.3088  0.5875 
   00137    0.4131   -5363.7873  0.5818 
