#=====================================================
# File created:        Wed-30-Oct-2024-at-12-39-52AM
# Size of lattice:     110x110
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        33.694072
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -11932.8890  0.2537 
   00001    0.6874  -18006.4391  0.2570 
   00002    0.6270  -21824.6047  0.2629 
   00003    0.5846  -24625.5582  0.2677 
   00004    0.5598  -26777.3684  0.2726 
   00005    0.5368  -28462.2399  0.2768 
   00006    0.5212  -29811.5279  0.2804 
   00007    0.5093  -30971.1323  0.2786 
   00008    0.4964  -31928.7433  0.2808 
   00009    0.4831  -32701.2507  0.2827 
   00010    0.4798  -33578.0089  0.2838 
   00011    0.4714  -34053.8465  0.2828 
   00012    0.4682  -34478.4025  0.2816 
   00013    0.4698  -34854.4862  0.2850 
   00014    0.4692  -35331.7835  0.2833 
   00015    0.4569  -35643.9653  0.2806 
   00016    0.4564  -35969.6584  0.2846 
   00017    0.4555  -36206.7248  0.2835 
   00018    0.4481  -36404.4410  0.2850 
   00019    0.4445  -36660.7053  0.2849 
   00020    0.4440  -36874.1247  0.2875 
   00021    0.4448  -37060.7583  0.2909 
   00022    0.4350  -37217.1301  0.2957 
   00023    0.4389  -37366.3262  0.2981 
   00024    0.4444  -37549.2122  0.2981 
   00025    0.4409  -37685.3754  0.2996 
   00026    0.4393  -37705.4353  0.2997 
   00027    0.4470  -37747.0175  0.2991 
   00028    0.4348  -37933.2902  0.2993 
   00029    0.4272  -38108.8019  0.3031 
   00030    0.4407  -38231.3036  0.3043 
   00031    0.4354  -38349.3897  0.3054 
   00032    0.4386  -38376.0107  0.3031 
   00033    0.4360  -38470.9300  0.3040 
   00034    0.4337  -38577.3419  0.3055 
   00035    0.4234  -38644.7503  0.3058 
   00036    0.4300  -38631.2157  0.3076 
   00037    0.4299  -38705.3120  0.3095 
   00038    0.4269  -38688.6342  0.3095 
   00039    0.4289  -38789.2713  0.3105 
   00040    0.4344  -38871.6609  0.3111 
   00041    0.4345  -38981.5807  0.3109 
   00042    0.4289  -38971.2313  0.3112 
   00043    0.4333  -38977.9200  0.3147 
   00044    0.4270  -39005.6144  0.3137 
   00045    0.4183  -39031.2841  0.3170 
   00046    0.4338  -39024.1637  0.3148 
   00047    0.4260  -39086.3812  0.3113 
   00048    0.4299  -39122.2954  0.3124 
   00049    0.4237  -39187.5564  0.3123 
   00050    0.4316  -39288.1200  0.3125 
   00051    0.4315  -39426.1600  0.3157 
   00052    0.4337  -39449.6819  0.3196 
   00053    0.4229  -39564.2806  0.3214 
   00054    0.4227  -39560.6905  0.3231 
   00055    0.4210  -39644.0682  0.3258 
   00056    0.4170  -39615.1801  0.3244 
   00057    0.4244  -39669.6574  0.3235 
   00058    0.4233  -39586.8579  0.3244 
   00059    0.4217  -39560.6778  0.3237 
   00060    0.4279  -39639.1315  0.3237 
   00061    0.4321  -39630.6501  0.3248 
   00062    0.4335  -39501.6797  0.3269 
   00063    0.4213  -39558.8086  0.3240 
   00064    0.4167  -39483.7176  0.3253 
   00065    0.4248  -39496.1326  0.3243 
   00066    0.4252  -39561.5257  0.3284 
   00067    0.4236  -39545.2953  0.3303 
   00068    0.4207  -39630.1389  0.3299 
   00069    0.4216  -39805.9181  0.3326 
   00070    0.4122  -39928.3233  0.3350 
   00071    0.4334  -39868.1397  0.3356 
   00072    0.4107  -39807.4372  0.3378 
   00073    0.4214  -39913.9829  0.3382 
   00074    0.4192  -39914.5374  0.3385 
   00075    0.4198  -39893.1027  0.3386 
   00076    0.4188  -39987.5927  0.3344 
   00077    0.4196  -39964.5533  0.3343 
   00078    0.4175  -39974.5059  0.3340 
   00079    0.4231  -39998.0186  0.3352 
   00080    0.4257  -39970.0782  0.3323 
   00081    0.4188  -39973.6098  0.3337 
   00082    0.4203  -40067.3463  0.3351 
   00083    0.4168  -40010.3889  0.3350 
   00084    0.4188  -40023.1939  0.3357 
   00085    0.4171  -39945.4435  0.3322 
   00086    0.4245  -39846.0322  0.3294 
   00087    0.4270  -39860.4072  0.3289 
   00088    0.4264  -39827.7784  0.3280 
   00089    0.4183  -39832.4658  0.3298 
   00090    0.4227  -39935.3824  0.3347 
   00091    0.4242  -39907.3821  0.3334 
   00092    0.4162  -39919.8476  0.3342 
   00093    0.4252  -39926.0775  0.3348 
   00094    0.4255  -39859.4297  0.3328 
   00095    0.4288  -39892.7923  0.3323 
   00096    0.4173  -39942.4495  0.3344 
   00097    0.4221  -40008.7540  0.3335 
   00098    0.4231  -39973.8791  0.3326 
   00099    0.4251  -40051.9150  0.3321 
   00100    0.4182  -40038.4324  0.3337 
   00101    0.4183  -40003.2537  0.3382 
   00102    0.4161  -40019.5606  0.3390 
   00103    0.4185  -40035.0627  0.3388 
   00104    0.4212  -40005.2914  0.3365 
   00105    0.4274  -39974.9000  0.3361 
   00106    0.4279  -39983.2523  0.3384 
   00107    0.4177  -40038.4358  0.3381 
   00108    0.4225  -40064.7928  0.3408 
   00109    0.4138  -40070.8244  0.3423 
   00110    0.4164  -40004.2812  0.3438 
   00111    0.4215  -40113.0236  0.3422 
   00112    0.4169  -40147.3851  0.3445 
   00113    0.4183  -40149.4065  0.3475 
   00114    0.4162  -40203.0730  0.3489 
   00115    0.4135  -40169.6041  0.3498 
   00116    0.4133  -40238.4445  0.3507 
   00117    0.4206  -40221.3682  0.3502 
   00118    0.4206  -40250.4748  0.3504 
   00119    0.4180  -40194.1350  0.3470 
   00120    0.4126  -40249.9853  0.3497 
   00121    0.4191  -40259.1117  0.3497 
   00122    0.4158  -40260.4348  0.3486 
   00123    0.4280  -40227.3719  0.3470 
   00124    0.4089  -40235.6965  0.3487 
   00125    0.4116  -40294.0709  0.3502 
   00126    0.4189  -40321.6729  0.3486 
   00127    0.4135  -40326.6074  0.3490 
   00128    0.4085  -40355.2870  0.3484 
   00129    0.4103  -40306.7107  0.3478 
   00130    0.4174  -40301.1907  0.3480 
   00131    0.4248  -40338.0291  0.3488 
   00132    0.4179  -40353.6743  0.3481 
   00133    0.4146  -40367.1837  0.3491 
   00134    0.4170  -40283.0528  0.3477 
   00135    0.4221  -40220.5256  0.3461 
   00136    0.4071  -40233.0822  0.3447 
   00137    0.4092  -40271.1947  0.3463 
   00138    0.4201  -40202.7701  0.3477 
   00139    0.4320  -40256.2941  0.3487 
   00140    0.4231  -40241.7571  0.3447 
   00141    0.4118  -40273.2369  0.3456 
   00142    0.4162  -40386.6586  0.3466 
   00143    0.4052  -40445.1874  0.3477 
   00144    0.4225  -40453.7426  0.3466 
   00145    0.4223  -40445.3136  0.3436 
   00146    0.4208  -40496.3661  0.3412 
   00147    0.4133  -40510.4102  0.3421 
   00148    0.4189  -40466.9079  0.3464 
   00149    0.4142  -40387.7111  0.3443 
   00150    0.4192  -40314.3080  0.3437 
   00151    0.4230  -40261.2418  0.3448 
   00152    0.4238  -40368.0489  0.3447 
   00153    0.4119  -40514.9159  0.3485 
   00154    0.4098  -40513.9862  0.3510 
   00155    0.4276  -40519.6902  0.3507 
   00156    0.4153  -40567.2283  0.3505 
   00157    0.4143  -40538.6354  0.3506 
   00158    0.4225  -40477.1341  0.3509 
   00159    0.4175  -40505.1095  0.3492 
   00160    0.4206  -40408.7425  0.3496 
   00161    0.4221  -40385.3885  0.3508 
   00162    0.4205  -40434.8996  0.3494 
